lunar file index, lat_long,azimuth,elevation,earth_azimuth,earth_elevation
1091835 ,( -89.01467903765725 47.93011789610158 ), -56.49473002933771 , 2.6092057362281666 , -54.85570989695467 , 6.899109838917924
1091836 ,( -89.01556234090675 47.98710840547855 ), -56.51109679662182 , 2.5877996118346767 , -54.85570989695467 , 6.899109838917924
1091837 ,( -89.01644466859669 48.04420122653253 ), -56.52777617412686 , 2.5796387899079996 , -54.85570989695467 , 6.899109838917924
1091838 ,( -89.01732601809833 48.10139652133831 ), -56.54477720412248 , 2.578207326144533 , -54.85570989695467 , 6.899109838917924
1091839 ,( -89.01820638677637 48.1586944517361 ), -56.56210928083571 , 2.5837019091257005 , -54.85570989695467 , 6.899109838917924
1091840 ,( -89.01908577198904 48.21609517932632 ), -56.579782167828505 , 2.5963267170381803 , -54.85570989695467 , 6.899109838917924
1091841 ,( -89.019964171088 48.27359886546437 ), -56.59780601627161 , 2.594978270637531 , -54.85570989695467 , 6.899109838917924
1091842 ,( -89.02084158141841 48.33120567125532 ), -56.61619138436633 , 2.5792358591962627 , -54.85570989695467 , 6.899109838917924
1091843 ,( -89.0217180003189 48.38891575754867 ), -56.63494925798441 , 2.555910512042656 , -54.85570989695467 , 6.899109838917924
1091844 ,( -89.02259342512153 48.44672928493291 ), -56.65409107247994 , 2.5540652885992094 , -54.85570989695467 , 6.899109838917924
1091845 ,( -89.02346785315189 48.50464641373023 ), -56.673628735959575 , 2.5669673728598386 , -54.85570989695467 , 6.899109838917924
1091846 ,( -89.02434128172898 48.56266730399099 ), -56.69357465391948 , 2.5950782160184107 , -54.85570989695467 , 6.899109838917924
1091847 ,( -89.0252137081653 48.62079211548835 ), -56.71394175550141 , 2.593545516416521 , -54.85570989695467 , 6.899109838917924
1091848 ,( -89.02608512976676 48.67902100771267 ), -56.73474352138377 , 2.5843292857128484 , -54.85570989695467 , 6.899109838917924
1091849 ,( -89.02695554383277 48.73735413986606 ), -56.755994013524685 , 2.582618269827724 , -54.85570989695467 , 6.899109838917924
1091850 ,( -89.02782494765621 48.79579167085671 ), -56.77770790679291 , 2.5808551335851915 , -54.85570989695467 , 6.899109838917924
1091851 ,( -89.02869333852337 48.85433375929331 ), -56.79990052274428 , 2.57114898428023 , -54.85570989695467 , 6.899109838917924
1091852 ,( -89.02956071371402 48.9129805634794 ), -56.82258786559132 , 2.561211076757548 , -54.85570989695467 , 6.899109838917924
1091853 ,( -89.03042707050139 48.97173224140765 ), -56.8457866606648 , 2.5348985665718438 , -54.85570989695467 , 6.899109838917924
1093112 ,( -89.01369949760526 47.98146121998219 ), -55.95752786014076 , 2.629983050674703 , -54.85570989695467 , 6.899109838917924
1093113 ,( -89.0145819226469 48.03844105282069 ), -55.968813524215065 , 2.5884631090716756 , -54.85570989695467 , 6.899109838917924
1093114 ,( -89.01546337152665 48.09552297453126 ), -55.98031482881897 , 2.566641303368811 , -54.85570989695467 , 6.899109838917924
1093115 ,( -89.01634384161937 48.15270714610561 ), -55.99203801547704 , 2.5512865483971976 , -54.85570989695467 , 6.899109838917924
1093116 ,( -89.01722333029345 48.20999372829795 ), -56.00398956894183 , 2.563495916085089 , -54.85570989695467 , 6.899109838917924
1093117 ,( -89.01810183491075 48.26738288161971 ), -56.01617622906822 , 2.5688947035091885 , -54.85570989695467 , 6.899109838917924
1093118 ,( -89.0189793528267 48.32487476633445 ), -56.028605003558546 , 2.581494906679074 , -54.85570989695467 , 6.899109838917924
1093119 ,( -89.0198558813902 48.38246954245245 ), -56.0412831813352 , 2.558440573841154 , -54.85570989695467 , 6.899109838917924
1093120 ,( -89.02073141794364 48.44016736972556 ), -56.054218346836834 , 2.527652139627134 , -54.85570989695467 , 6.899109838917924
1093121 ,( -89.02160595982294 48.49796840764172 ), -56.06741839511583 , 2.510871082432502 , -54.85570989695467 , 6.899109838917924
1093122 ,( -89.02247950435748 48.55587281541971 ), -56.08089154789657 , 2.5381428150822933 , -54.85570989695467 , 6.899109838917924
1093123 ,( -89.0233520488702 48.61388075200365 ), -56.09464637070092 , 2.573448942506495 , -54.85570989695467 , 6.899109838917924
1093124 ,( -89.02422359067748 48.67199237605757 ), -56.108691790916836 , 2.5868115360212833 , -54.85570989695467 , 6.899109838917924
1093125 ,( -89.0250941270892 48.73020784595997 ), -56.123037117170696 , 2.5851676950761053 , -54.85570989695467 , 6.899109838917924
1093126 ,( -89.02596365540879 48.78852731979823 ), -56.13769205989349 , 2.583473913931947 , -54.85570989695467 , 6.899109838917924
1093127 ,( -89.02683217293308 48.84695095536303 ), -56.15266675319047 , 2.5583114555551054 , -54.85570989695467 , 6.899109838917924
1093128 ,( -89.02769967695247 48.90547891014283 ), -56.16797177824177 , 2.5562543210159356 , -54.85570989695467 , 6.899109838917924
1093129 ,( -89.02856616475079 48.96411134131812 ), -56.18361818819244 , 2.5381759347846073 , -54.85570989695467 , 6.899109838917924
1093130 ,( -89.0294316336054 49.02284840575579 ), -56.199617534797305 , 2.48739070978193 , -54.85570989695467 , 6.899109838917924
1093131 ,( -89.03029608078714 49.08169026000343 ), -56.21598189680193 , 2.4517541698351644 , -54.85570989695467 , 6.899109838917924
1093132 ,( -89.03115950356032 49.14063706028347 ), -56.23272391037982 , 2.4317936926021484 , -54.85570989695467 , 6.899109838917924
1093133 ,( -89.03202189918275 49.19968896248751 ), -56.24985680162055 , 2.4029958789080856 , -54.85570989695467 , 6.899109838917924
1093134 ,( -89.03288326490573 49.25884612217035 ), -56.267394421380395 , 2.3650462979520115 , -54.85570989695467 , 6.899109838917924
