-8.909932552368525194e+01,5.476648455086222356e+01,-1.043500000000000000e+03
-8.905116571058613317e+01,6.680650127499812641e+01,-9.840000000000000000e+02
-8.904715239282786854e+01,8.436485899769631658e+01,-8.605000000000000000e+02
-8.895083276662961680e+01,9.038486735976427155e+01,-5.640000000000000000e+02
-8.883444655164005610e+01,9.389653890430390959e+01,-4.450000000000000000e+02
-8.880835998621135730e+01,1.016723830386416836e+02,-2.605000000000000000e+02
-8.892273954232179278e+01,1.054348882649341590e+02,-8.800000000000000000e+01
-8.905919234610264823e+01,1.064382229919454801e+02,6.450000000000000000e+01
-8.911537879471829626e+01,1.129598987175190814e+02,3.580000000000000000e+02
-8.919965846764176831e+01,1.197324081248455343e+02,6.530000000000000000e+02
